task,model,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
triplet,A21,100.0,0.48524997388110663,0.45522929388922584,0.5286949562650647,1.2832776029964517,1.1470034506654667,1,1.2151405268309592,1.1470034506654667
triplet,A22,100.0,0.7087219238707727,0.6665613438051541,0.40041160011091104,1.2469495852260248,1.256815977146969,2,1.251882781186497,1.2469495852260248
triplet,A23,100.0,0.7106730551236077,0.6901406721685124,0.30402734536196463,1.2328619315452882,1.2009910314908567,3,1.2169264815180725,1.2009910314908567
triplet,A24,100.0,0.6351676876018323,0.6083997357788176,0.36458463566980426,1.2556386532417698,1.233050663044905,4,1.2443446581433375,1.233050663044905
triplet,A25,100.0,0.5742100420192474,0.5414760064877823,0.41290504551760876,1.2513872229284801,1.227596342315114,5,1.239491782621797,1.227596342315114
triplet,A26,100.0,0.5804649895809937,0.5630142205624399,0.43220086832548155,1.2561914568523311,1.2245532974448259,6,1.2403723771485784,1.2245532974448259
triplet,A27,100.0,0.6121312584697363,0.544679196979538,0.5018943418527202,1.2377751784411724,1.2727260399999407,7,1.2552506092205564,1.2377751784411724
triplet,A28,100.0,0.7037085961376424,0.6489195111402276,0.3648689659669129,1.2248690859558165,1.234269577250169,8,1.2295693316029928,1.2248690859558165
triplet,A29,100.0,0.6193503761045216,0.5727904934075922,0.3757323157281023,1.203720523209021,1.2453353295657978,9,1.2245279263874094,1.203720523209021
triplet,A3,50.0,0.44904773836630857,0.39962973307383676,0.5962554408788621,1.2328619315452882,1.2551350493682072,3,1.2439984904567478,1.2222382981938111
triplet,A4,50.0,0.4642649449439669,0.37370228495591035,0.5921326419712334,1.2556386532417698,1.2253101827246284,4,1.2404744179831992,1.2253101827246284
triplet,A5,50.0,0.37293841811940703,0.31084560273932316,0.6499865391017917,1.2513872229284801,1.278406225770242,5,1.264896724349361,1.2361987289456764
triplet,A6,50.0,0.4144515505600257,0.3686185253761227,0.6329853819908412,1.2561914568523311,1.2564128985899117,6,1.2563021777211214,1.239455133205343
triplet,A7,50.0,0.3783808253338014,0.2878166665339308,0.7117091455446208,1.2377751784411724,1.2565573046446759,7,1.247166241542924,1.233857618934174
triplet,A8,50.0,0.37909404801225427,0.31866937657775946,0.6918111219071049,1.2248690859558165,1.26676259297526,8,1.2458158394655383,1.218637691979987
triplet,A9,50.0,0.3859160874986141,0.3309620590799949,0.6273294749543749,1.203720523209021,1.2711361881916166,9,1.2374283557003187,1.2017302113011377
triplet,B0,41.665,0.38232432757483426,0.28240681042274407,0.6956825437213895,1.2826511462514083,1.2749528186571362,0,1.2788019824542722,1.2566301634528019
triplet,B1,41.665,0.3847871801819338,0.32584667173042914,0.6796394210792973,1.257252327105979,1.270789099617964,1,1.2640207133619716,1.2312270512155066
triplet,B2,41.665,0.3349207222115042,0.27116215154064566,0.7442928861431857,1.223254304330783,1.2262672773512806,2,1.2247607908410318,1.1995590234355413
triplet,B3,41.665,0.3693454843542082,0.27780095179026654,0.707576807208862,1.2458024663310283,1.2822070583068825,3,1.2640047623189554,1.2458024663310283
triplet,B4,41.665,0.37439485225424596,0.29639689195880825,0.6675155723448613,1.2326477539584224,1.2214399425644902,4,1.2270438482614563,1.2096568546750752
triplet,B5,41.665,0.31145651060286694,0.1979402412454542,0.7512363750356943,1.2404999222609578,1.303811167497806,5,1.2721555448793818,1.2296126215934355
triplet,B6,41.665,0.3419274756194713,0.29008669904186685,0.7085684001890703,1.2469060510856016,1.2723426991624547,6,1.2596243751240281,1.2376206453188723
triplet,B7,41.665,0.25501505166887606,0.19987026544601016,0.7814242495768042,1.2318988391806749,1.2484729369670435,7,1.2401858880738592,1.2260224999201772
triplet,B8,41.665,0.2454152397017401,0.17213758967743975,0.8103193584140057,1.2155219949920724,1.2830091008378055,8,1.249265547914939,1.2061749040283283
triplet,B9,41.665,0.29520140216426016,0.22516629749882106,0.7260290747949318,1.200735055347196,1.2840366175045261,9,1.242385836425861,1.197749587485371
triplet,C0,16.665,0.34835696253176884,0.17248631182059396,0.7520582866894444,1.2826511462514083,1.2932754738614705,0,1.2879633100564394,1.2749528186571362
triplet,C1,16.665,0.2845016751601129,0.20827392782529774,0.7571245898156584,1.257252327105979,1.3103511480204215,1,1.2838017375632003,1.257252327105979
triplet,C2,16.665,0.26497245512410084,0.19666828307581674,0.8024389538370957,1.223254304330783,1.2529755312670197,2,1.2381149177989015,1.223254304330783
triplet,C3,16.665,0.24286514753780397,0.12886063389282018,0.8154466597102821,1.2458024663310283,1.3056711154969967,3,1.2757367909140125,1.2458024663310283
triplet,C4,16.665,0.3567553364502843,0.19407833319274792,0.728897720258719,1.2326477539584224,1.2332230304539054,4,1.2329353922061639,1.2214399425644902
triplet,C5,16.665,0.24340281001378136,0.12741155419141817,0.7894441429251754,1.2404999222609578,1.3780097134021765,5,1.309254817831567,1.2404999222609578
triplet,C6,16.665,0.2805430219536058,0.18800851931148452,0.7963379541987139,1.2469060510856016,1.307064753006037,6,1.2769854020458193,1.2469060510856016
triplet,C7,16.665,0.22968822540892217,0.14205078036728405,0.8311674439618035,1.2318988391806749,1.2709233740139099,7,1.2514111065972924,1.2318988391806749
triplet,C8,16.665,0.1756968686379661,0.11144946429631067,0.8491079923784766,1.2155219949920724,1.3598432976472827,8,1.2876826463196775,1.2155219949920724
triplet,C9,16.665,0.2366925012713904,0.1333690113978121,0.8216644828281604,1.200735055347196,1.3703236475236813,9,1.2855293514354387,1.200735055347196
