m1,m2,task,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
A5,C5,label_and_triplet,0.0,0.20731649043927008,0.12770698357879193,0.48163670812563003,2.4989741325830974,2.8286882394979846,5,2.6638311860405413,2.4989741325830974
B5,C5,label_and_triplet,33.33,0.2802915395803014,0.31019747647770596,0.4379348964337454,2.3840514143984697,2.8286882394979846,5,2.606369826948227,2.3840514143984697
A5,A25,label_and_triplet,100.0,0.45360965285301263,0.4337975113601964,0.3265306752778183,2.4989741325830974,2.6284463125359245,5,2.5637102225595108,2.4989741325830974
A6,B6,label_and_triplet,50.0,0.2690121195439408,0.21731699650379122,0.479707107157095,2.3253477593109424,2.2789674483653117,6,2.3021576038381273,2.2789674483653117
A6,C6,label_and_triplet,0.0,0.23070419776871998,0.1736419017528837,0.6140381418464207,2.3253477593109424,2.9223873058102283,6,2.6238675325605856,2.3253477593109424
B6,C6,label_and_triplet,33.33,0.2113170470770567,0.11739934155319202,0.547735380668147,2.2789674483653117,2.9223873058102283,6,2.60067737708777,2.2789674483653117
A6,A26,label_and_triplet,100.0,0.6010338488954061,0.36103912122125503,0.29351831428724945,2.3253477593109424,2.4065079703798804,6,2.3659278648454114,2.3253477593109424
A7,B7,label_and_triplet,50.0,0.46920732579480495,0.25415727228241575,0.26601934297441415,2.859412662653192,2.884747040588214,7,2.872079851620703,2.859412662653192
A7,C7,label_and_triplet,0.0,0.13943370945405945,0.13187498955503513,0.40304689501044955,2.859412662653192,2.305306727291707,7,2.5823596949724497,2.305306727291707
B7,C7,label_and_triplet,33.33,0.201324789680485,0.14867799372908605,0.4533511539337856,2.884747040588214,2.305306727291707,7,2.5950268839399606,2.305306727291707
A7,A27,label_and_triplet,100.0,0.4977482319933672,0.27370844775971803,0.29823883935849466,2.859412662653192,2.57850257158437,7,2.718957617118781,2.57850257158437
A8,B8,label_and_triplet,50.0,0.45420378818872387,0.28917871346757973,0.4802907905901538,2.3055722396474576,2.2827534214457974,8,2.2941628305466275,2.2827534214457974
A8,C8,label_and_triplet,0.0,0.13942948625762117,0.016078819078426804,0.6351982070348712,2.3055722396474576,2.245199064520394,8,2.2753856520839255,2.245199064520394
B8,C8,label_and_triplet,33.33,0.25364185008531687,0.06690152733291072,0.5413298551695254,2.2827534214457974,2.245199064520394,8,2.2639762429830954,2.245199064520394
